id,countyname,popuplation,rate,rate_rank,percent,percent_rank
6037,Los Angeles County,9818605,19219,1,0.002,356
17031,Cook County,5194675,10044,2,0.0019,382
53033,King County,1931249,9040,3,0.0047,46
36061,New York County,1585873,6741,4,0.0043,61
6075,San Francisco County,805235,5973,5,0.0074,19
6073,San Diego County,3095313,5946,6,0.0019,388
6001,Alameda County,1510271,5639,7,0.0037,95
36047,Kings County,2504700,5425,8,0.0022,281
4013,Maricopa County,3817117,5323,9,0.0014,690
25017,Middlesex County,1503085,4999,10,0.0033,115
48453,Travis County,1024266,4818,11,0.0047,47
6085,Santa Clara County,1781642,4817,12,0.0027,184
6059,Orange County,3010232,4276,13,0.0014,688
41051,Multnomah County,735334,3918,14,0.0053,40
48201,Harris County,4092459,3862,15,0.0009,1099
27053,Hennepin County,1152425,3765,16,0.0033,113
42003,Allegheny County,1223348,2710,17,0.0022,280
48113,Dallas County,2368139,2619,18,0.0011,887
51059,Fairfax County,1081726,2571,19,0.0024,224
42101,Philadelphia County,1526006,2532,20,0.0017,442
36081,Queens County,2230722,2531,21,0.0011,906
24031,Montgomery County,971777,2413,22,0.0025,216
49035,Salt Lake County,1029655,2387,23,0.0023,255
41005,Clackamas County,375992,2362,24,0.0063,32
12086,Miami-Dade County,2496435,2349,25,0.0009,1198
32003,Clark County,1951269,2309,26,0.0012,818
6067,Sacramento County,1418788,2307,27,0.0016,518
6013,Contra Costa County,1049025,2207,28,0.0021,320
11001,District of Columbia,601723,2190,29,0.0036,97
6065,Riverside County,2189641,2177,30,0.001,1067
8013,Boulder County,294567,2155,31,0.0073,20
6081,San Mateo County,718451,2068,32,0.0029,158
39049,Franklin County,1163414,2040,33,0.0018,401
26125,Oakland County,1202362,1990,34,0.0017,461
48029,Bexar County,1714773,1947,35,0.0011,888
25025,Suffolk County,722023,1922,36,0.0027,182
4019,Pima County,980263,1918,37,0.002,357
55025,Dane County,488073,1899,38,0.0039,78
8005,Arapahoe County,572003,1856,39,0.0032,122
12011,Broward County,1748066,1849,40,0.0011,959
8031,Denver County,600158,1817,41,0.003,145
13089,DeKalb County,691893,1811,42,0.0026,196
12095,Orange County,1145956,1792,43,0.0016,512
36103,Suffolk County,1493350,1742,44,0.0012,808
24005,Baltimore County,805029,1713,45,0.0021,311
17043,DuPage County,916924,1681,46,0.0018,424
48085,Collin County,782341,1681,47,0.0021,300
39035,Cuyahoga County,1280122,1678,48,0.0013,722
6097,Sonoma County,483878,1629,49,0.0034,109
35001,Bernalillo County,662564,1606,50,0.0024,232
48439,Tarrant County,1809034,1580,51,0.0009,1093
53061,Snohomish County,713335,1571,52,0.0022,273
47037,Davidson County,626681,1566,53,0.0025,205
36059,Nassau County,1339532,1544,54,0.0012,810
36055,Monroe County,744344,1532,55,0.0021,305
36119,Westchester County,949113,1504,56,0.0016,492
12057,Hillsborough County,1229226,1497,57,0.0012,862
6041,Marin County,252409,1453,58,0.0058,39
29189,St. Louis County,998954,1436,59,0.0014,652
25021,Norfolk County,670850,1424,60,0.0021,310
41039,Lane County,351715,1422,61,0.004,74
6071,San Bernardino County,2035210,1404,62,0.0007,1552
9001,Fairfield County,916829,1400,63,0.0015,600
27123,Ramsey County,508640,1393,64,0.0027,181
12103,Pinellas County,916542,1364,65,0.0015,598
12099,Palm Beach County,1320134,1352,66,0.001,1060
41067,Washington County,529710,1349,67,0.0025,207
26161,Washtenaw County,344791,1333,68,0.0039,80
42091,Montgomery County,799874,1323,69,0.0017,443
26163,Wayne County,1820584,1320,70,0.0007,1484
55079,Milwaukee County,947735,1315,71,0.0014,608
13121,Fulton County,920581,1252,72,0.0014,683
37183,Wake County,900993,1248,73,0.0014,639
6087,Santa Cruz County,262382,1218,74,0.0046,52
36029,Erie County,919040,1202,75,0.0013,731
6111,Ventura County,823318,1192,76,0.0014,687
53053,Pierce County,795225,1180,77,0.0015,527
34003,Bergen County,905116,1171,78,0.0013,737
39061,Hamilton County,802374,1166,79,0.0015,561
42017,Bucks County,625249,1160,80,0.0019,365
8001,Adams County,441603,1160,81,0.0026,199
8041,El Paso County,622263,1149,82,0.0018,429
9009,New Haven County,862477,1148,83,0.0013,772
25009,Essex County,743159,1146,84,0.0015,580
42029,Chester County,498886,1139,85,0.0023,257
25027,Worcester County,798552,1131,86,0.0014,669
6083,Santa Barbara County,423895,1131,87,0.0027,185
13067,Cobb County,688078,1126,88,0.0016,509
9003,Hartford County,894014,1118,89,0.0013,774
21111,Jefferson County,741096,1093,90,0.0015,587
15003,Honolulu County,953207,1083,91,0.0011,955
49049,Utah County,516564,1061,92,0.0021,298
34023,Middlesex County,809858,1049,93,0.0013,736
17097,Lake County,703462,1042,94,0.0015,591
8069,Larimer County,299630,1031,95,0.0034,107
20091,Johnson County,544179,985,96,0.0018,418
29095,Jackson County,674158,981,97,0.0015,576
18097,Marion County,903393,965,98,0.0011,948
26081,Kent County,602622,950,99,0.0016,500
37063,Durham County,267587,948,100,0.0035,99
37119,Mecklenburg County,919628,943,101,0.001,1008
24003,Anne Arundel County,537656,938,102,0.0017,464
51013,Arlington County,207627,936,103,0.0045,53
12031,Duval County,864263,925,104,0.0011,957
53011,Clark County,425363,924,105,0.0022,275
34013,Essex County,783969,923,106,0.0012,815
26099,Macomb County,840978,911,107,0.0011,925
16001,Ada County,392365,901,108,0.0023,270
48121,Denton County,662614,878,109,0.0013,706
34027,Morris County,492276,871,110,0.0018,406
53063,Spokane County,471221,867,111,0.0018,391
42045,Delaware County,558979,866,112,0.0015,552
34017,Hudson County,634266,862,113,0.0014,646
36001,Albany County,304204,852,114,0.0028,166
33011,Hillsborough County,400721,824,115,0.0021,306
23005,Cumberland County,281674,823,116,0.0029,156
6079,San Luis Obispo County,269637,819,117,0.003,146
31055,Douglas County,517110,800,118,0.0015,574
